customer_id,service_id,purchase_amount,purchase_date
16,2,$6987.14,02/24/2020
40,5,$3016.36,10/07/2021
77,3,$1719.29,07/17/2020
96,4,$6060.19,07/14/2021
51,5,$3395.07,07/21/2021
64,3,$4673.33,07/04/2021
44,5,$1428.22,11/13/2020
81,4,$1643.51,12/24/2021
72,3,$2054.81,11/26/2020
88,2,$6032.82,09/24/2020
4,2,$2360.61,09/30/2021
30,2,$8254.38,01/19/2020
30,2,$6214.30,09/14/2021
28,4,$80.48,11/25/2020
8,2,$6072.88,10/08/2021
30,5,$225.28,07/04/2021
19,4,$4633.26,06/03/2020
16,3,$3355.80,05/13/2021
55,1,$46.46,10/02/2020
13,3,$8210.93,10/19/2021
87,2,$6464.31,07/16/2020
59,3,$293.23,08/03/2020
64,5,$2045.51,01/01/2021
20,2,$6088.75,01/30/2020
28,3,$6339.77,04/09/2021
29,4,$1157.89,01/02/2021
23,4,$7788.44,06/13/2021
84,4,$528.66,03/20/2021
99,2,$8108.31,11/25/2020
36,1,$7433.02,07/07/2021
40,4,$4156.45,03/18/2021
99,1,$3184.07,09/17/2020
94,3,$8475.49,12/10/2020
61,3,$621.92,05/19/2020
40,1,$5488.97,10/23/2021
47,3,$4125.58,06/27/2021
17,3,$3330.63,08/26/2020
74,5,$1185.27,06/05/2020
54,5,$6910.25,11/29/2020
96,4,$8470.76,02/09/2021
75,1,$6108.55,07/07/2020
40,1,$5186.47,06/01/2021
35,5,$517.59,09/27/2021
51,5,$3437.59,09/04/2021
27,5,$4284.90,10/15/2020
33,5,$2418.67,01/12/2022
5,4,$9424.44,07/13/2020
36,2,$4922.48,02/21/2021
89,2,$6059.22,01/14/2022
34,4,$5443.33,08/01/2020
19,2,$5366.48,04/22/2021
56,1,$1475.82,11/02/2020
70,4,$4595.29,04/19/2021
97,2,$7131.81,06/18/2020
54,4,$7548.54,04/18/2020
90,3,$2583.93,02/16/2022
20,3,$6811.97,09/26/2020
9,5,$4104.78,05/30/2020
18,1,$6785.23,12/16/2020
52,3,$8562.91,06/27/2021
26,2,$1673.69,01/11/2022
74,3,$1070.14,01/14/2020
47,3,$105.50,02/24/2022
66,2,$6781.67,03/01/2021
34,1,$3586.58,04/10/2020
12,3,$6064.37,04/12/2020
56,4,$3470.97,10/23/2020
95,1,$6043.80,10/09/2020
30,5,$8103.72,08/16/2020
95,2,$4179.62,04/27/2020
16,4,$179.32,03/08/2020
97,1,$404.28,09/08/2020
67,5,$8314.59,05/18/2021
60,4,$3396.23,05/14/2021
14,4,$2502.01,10/04/2020
31,1,$9389.26,03/14/2022
81,5,$6030.91,06/16/2020
34,2,$9467.07,01/15/2022
66,4,$7043.77,03/20/2021
8,4,$9142.12,07/07/2021
9,3,$1261.18,02/13/2022
54,4,$6568.75,05/06/2020
99,4,$3743.81,02/19/2022
30,3,$7827.48,02/02/2020
10,4,$8949.77,08/08/2020
33,4,$5064.53,08/05/2021
24,2,$1262.13,03/09/2021
90,3,$9137.50,04/30/2020
41,5,$2201.84,10/13/2021
6,1,$380.50,12/20/2021
54,4,$8192.04,07/06/2021
1,5,$7510.42,02/11/2022
52,3,$9209.99,12/11/2020
35,1,$9994.75,10/05/2021
9,1,$2568.48,04/21/2021
17,1,$1977.80,11/13/2020
57,4,$4019.44,07/15/2020
18,5,$9359.58,01/15/2020
10,2,$9478.77,09/03/2020
31,2,$7291.97,02/03/2022
15,1,$7759.17,03/26/2020
12,3,$3836.32,10/30/2021
56,3,$3132.61,05/23/2021
61,1,$1275.81,05/23/2020
50,1,$635.54,01/19/2022
22,1,$4289.72,09/09/2020
12,2,$7739.25,08/07/2021
25,2,$1172.25,12/27/2021
12,3,$9594.00,03/01/2020
15,2,$4959.50,11/03/2020
68,3,$9687.14,10/21/2021
52,2,$9018.67,01/15/2021
45,3,$4025.76,12/22/2021
65,3,$4935.96,07/30/2020
80,4,$2134.08,08/15/2021
55,4,$1894.55,10/30/2021
96,3,$6877.30,03/05/2022
40,3,$6542.47,07/03/2021
31,2,$5413.57,04/07/2021
72,1,$9200.91,07/03/2021
14,5,$6332.73,04/25/2020
10,1,$763.01,09/01/2020
94,1,$9933.78,01/04/2020
30,5,$8566.37,11/03/2021
4,5,$6184.74,12/01/2020
9,3,$3384.66,08/30/2021
79,4,$5529.82,03/16/2022
73,4,$6182.00,06/30/2020
91,3,$7406.49,11/04/2020
38,3,$7541.08,02/16/2021
27,2,$4844.96,03/17/2022
29,1,$839.13,07/04/2020
40,5,$5044.65,10/14/2020
72,3,$8778.02,03/20/2022
75,4,$5817.11,08/11/2021
35,4,$5624.78,03/31/2020
11,4,$1576.62,08/09/2020
7,4,$4951.01,12/31/2021
12,5,$5981.05,04/04/2021
36,5,$6248.49,09/15/2021
26,4,$6976.35,01/01/2020
3,4,$15.07,02/21/2020
75,1,$4357.73,05/30/2021
13,4,$4737.33,12/31/2020
17,1,$9389.00,06/09/2020
57,1,$5398.38,05/06/2020
51,4,$5997.97,05/06/2021
90,5,$4571.37,01/16/2022
53,5,$7889.79,01/23/2022
95,3,$4338.08,01/06/2022
96,2,$3007.56,08/01/2020
59,1,$5730.38,03/27/2022
3,3,$894.29,05/25/2020
95,3,$5230.22,08/13/2020
60,5,$4801.55,03/27/2020
10,3,$4323.56,10/08/2021
86,4,$1368.65,05/20/2020
90,2,$4314.03,04/01/2022
