customer_id,service_id,purchase_amount,purchase_date
59,1,$5229.79,05/26/2021
49,5,$5499.52,11/02/2020
42,1,$1563.20,11/25/2020
55,1,$9659.61,05/23/2021
55,4,$1362.52,03/03/2022
43,3,$4616.52,07/03/2021
47,3,$5528.47,04/15/2021
46,1,$6717.53,01/30/2020
43,1,$2607.96,01/20/2020
53,2,$9751.22,02/28/2022
57,1,$1722.93,09/19/2020
52,2,$8695.59,02/09/2021
59,4,$1637.08,11/20/2020
47,1,$433.69,01/09/2021
45,1,$5947.25,02/12/2022
56,4,$3245.30,01/06/2022
47,2,$3255.91,12/17/2021
54,5,$8261.12,02/09/2022
48,3,$795.91,01/27/2020
45,2,$6667.57,04/29/2020
53,3,$2585.75,09/08/2021
41,3,$3372.11,09/09/2020
59,3,$5601.12,04/27/2021
43,1,$2520.67,11/10/2021
51,1,$8103.22,12/03/2021
42,4,$1684.79,05/03/2021
56,5,$9773.04,04/15/2020
47,2,$1922.36,08/15/2020
50,3,$7850.18,10/12/2021
59,1,$9347.44,12/01/2021
41,1,$6923.26,04/13/2021
43,4,$1444.93,05/07/2021
58,2,$5186.59,09/25/2020
56,2,$4940.56,01/25/2020
56,4,$3808.54,09/30/2021
47,2,$4694.50,08/09/2020
58,5,$784.59,02/27/2021
53,1,$4525.84,01/02/2021
47,1,$7958.28,11/19/2020
49,5,$9821.85,03/21/2020
53,4,$4231.22,03/28/2021
40,2,$3945.85,04/01/2020
46,5,$8725.87,06/17/2020
57,1,$8578.07,05/12/2020
43,4,$6109.31,11/18/2020
46,1,$482.16,02/18/2020
50,2,$7662.69,05/05/2020
49,5,$9427.47,06/24/2020
59,2,$9784.14,06/23/2020
51,1,$9540.35,03/26/2022
53,3,$6220.94,10/17/2021
57,3,$7361.58,02/12/2022
54,1,$1310.30,12/19/2021
51,2,$6391.34,02/16/2021
42,3,$9482.34,03/07/2021
53,1,$6809.76,04/30/2021
51,3,$8187.03,07/12/2020
56,2,$6995.89,11/10/2020
47,3,$3455.82,09/10/2021
60,2,$6383.75,05/06/2021
47,2,$6662.82,07/31/2021
40,5,$4145.14,02/24/2022
46,1,$9543.31,07/30/2020
40,4,$9320.93,05/11/2021
40,1,$3744.96,09/20/2021
57,2,$2446.69,04/24/2021
41,3,$1330.52,09/26/2021
47,1,$6014.05,03/05/2021
49,3,$8522.37,12/05/2021
59,4,$5116.36,01/20/2021
57,5,$1385.58,02/07/2022
51,5,$4657.69,11/06/2020
52,2,$3886.86,11/17/2021
53,4,$9135.13,03/14/2020
40,4,$9687.46,02/02/2020
47,4,$7657.51,12/24/2020
57,2,$63.88,09/26/2021
58,3,$7782.93,03/26/2021
45,5,$4009.24,11/25/2021
46,1,$4759.57,01/04/2020
41,1,$6619.63,03/20/2021
59,4,$6746.70,04/03/2021
46,4,$1912.83,09/03/2021
56,2,$5628.95,06/22/2021
43,1,$8689.37,07/06/2020
44,2,$6675.10,04/08/2021
52,5,$3284.65,07/01/2020
51,5,$3398.72,01/03/2020
56,1,$7269.96,01/18/2022
41,1,$1505.28,05/10/2021
48,4,$6888.79,10/04/2021
60,4,$8808.76,04/20/2021
58,1,$9350.14,03/30/2021
48,2,$4500.76,06/13/2021
46,5,$6978.14,03/30/2020
58,5,$8747.46,11/24/2020
47,2,$5042.70,11/13/2021
40,2,$6584.34,11/10/2020
55,5,$4022.92,10/31/2020
48,3,$7008.52,09/06/2020
60,5,$4634.68,09/19/2021
56,3,$801.05,06/03/2020
59,5,$9972.87,01/24/2020
56,2,$2532.42,07/23/2021
44,1,$6256.77,10/13/2021
41,2,$5767.61,02/07/2020
53,5,$2072.84,01/17/2020
53,1,$7592.67,07/18/2020
51,1,$619.76,05/16/2020
40,4,$8657.94,07/12/2020
59,2,$7270.35,08/27/2021
41,4,$2417.46,01/11/2021
45,3,$1553.92,01/16/2022
46,4,$475.78,03/30/2022
40,5,$3655.03,05/11/2021
58,5,$4446.75,10/16/2021
57,5,$6705.57,07/09/2020
54,3,$9376.32,02/15/2020
48,2,$8318.24,09/13/2020
51,5,$8287.33,05/26/2021
45,4,$6498.34,02/21/2021
51,1,$8477.42,03/02/2021
50,2,$4976.08,06/21/2020
43,5,$9393.54,07/06/2020
57,5,$9878.27,01/04/2020
