customer_id,service_id,purchase_amount,purchase_date
23,2,$7610.03,02/05/2021
85,4,$2913.32,10/27/2020
86,4,$3631.12,12/29/2020
65,3,$996.69,10/07/2020
42,1,$3274.63,07/23/2020
36,4,$5314.89,02/26/2022
87,2,$9243.91,02/27/2020
62,3,$5616.32,07/12/2020
48,5,$4515.17,02/03/2022
81,2,$3861.35,07/28/2020
17,2,$71.27,11/21/2021
54,2,$8542.47,01/12/2022
88,1,$6388.79,08/04/2020
84,4,$5077.35,11/14/2020
74,1,$9275.85,04/17/2020
42,3,$8846.94,05/07/2020
56,5,$7108.09,04/01/2020
34,1,$24.36,02/03/2021
71,3,$475.27,10/11/2021
41,2,$9168.68,07/12/2020
84,5,$6674.56,11/06/2020
29,3,$946.28,08/17/2021
18,4,$3925.46,10/09/2021
16,2,$8187.01,10/18/2020
15,3,$8612.18,02/14/2020
20,2,$5816.63,04/24/2021
39,1,$4008.29,05/25/2020
26,5,$1596.18,01/02/2022
74,1,$3585.35,02/20/2022
30,5,$8344.52,06/07/2020
31,1,$8950.25,06/29/2021
76,5,$9312.09,07/29/2021
66,1,$9310.05,11/16/2020
23,3,$9474.44,04/21/2020
39,4,$1373.70,03/15/2022
14,2,$2048.48,06/27/2021
58,2,$7950.24,02/03/2021
77,1,$9887.20,06/23/2020
88,5,$2685.53,04/25/2021
63,1,$9212.96,09/14/2021
29,2,$526.94,10/13/2020
55,2,$4836.26,12/11/2020
63,1,$6129.41,11/25/2021
83,5,$6400.91,01/07/2020
60,4,$410.25,11/22/2021
43,3,$5149.38,01/06/2022
12,3,$83.24,09/11/2021
11,5,$3417.36,10/12/2020
69,5,$2158.62,09/15/2021
50,3,$738.95,02/20/2022
13,5,$7960.42,02/23/2020
84,4,$4244.07,06/23/2021
52,5,$3525.02,12/07/2021
38,4,$4965.29,01/03/2021
55,3,$7385.16,12/02/2020
87,1,$3639.67,07/15/2020
46,2,$6225.64,05/21/2020
71,4,$7895.12,04/11/2020
37,1,$1771.24,11/21/2021
81,5,$6825.86,05/15/2020
84,4,$1725.25,02/05/2020
75,5,$2335.84,01/01/2022
88,3,$8831.19,10/09/2021
28,3,$1922.54,09/27/2020
35,4,$9201.05,03/18/2022
25,5,$480.60,08/03/2021
56,1,$3423.25,02/27/2022
60,3,$4200.21,10/06/2021
80,4,$860.42,09/24/2021
14,5,$9457.02,06/10/2020
36,5,$7030.92,08/23/2021
47,5,$965.80,03/12/2022
67,1,$3629.58,03/07/2021
88,4,$4178.70,08/13/2020
59,5,$8736.65,03/23/2022
32,1,$6059.20,12/04/2021
44,2,$4265.22,08/21/2021
56,2,$785.59,03/02/2021
36,2,$5235.11,01/18/2020
12,4,$4363.90,09/19/2020
32,2,$3568.45,04/10/2020
31,4,$4768.18,07/04/2021
30,2,$1494.41,04/10/2020
27,1,$1982.12,12/26/2020
66,5,$1913.79,07/22/2020
63,5,$7117.29,06/04/2020
45,3,$9048.70,12/01/2020
80,2,$5705.78,12/11/2021
46,1,$6037.09,10/13/2020
45,3,$6636.15,10/24/2021
21,3,$1005.43,11/26/2020
60,5,$5481.72,09/23/2020
22,1,$8853.44,03/14/2022
42,3,$7756.71,05/06/2020
66,2,$865.14,03/31/2022
74,4,$5095.16,01/02/2021
19,2,$8071.30,11/05/2020
10,3,$5819.43,11/11/2021
76,5,$8092.93,05/31/2020
65,1,$9154.59,02/17/2022
62,1,$7353.77,10/02/2021
77,3,$6202.85,09/19/2020
50,2,$7375.12,05/27/2020
80,3,$5005.21,03/29/2020
79,5,$4059.80,08/08/2020
50,1,$9853.65,07/28/2021
59,2,$1946.97,12/15/2021
39,4,$8484.76,10/27/2020
79,2,$4586.49,03/21/2022
37,4,$723.41,09/04/2021
51,1,$9844.69,02/05/2022
37,3,$4885.32,03/09/2020
