customer_id,service_id,purchase_amount,purchase_date
30,5,$4510.26,11/20/2022
4,5,$3733.31,6/14/2023
52,5,$8536.12,3/4/2023
83,4,$3835.94,11/22/2022
87,4,$7223.53,5/9/2022
90,5,$1127.84,5/13/2022
3,5,$1572.48,8/13/2022
39,1,$1764.26,2/1/2023
59,5,$7078.28,7/29/2022
98,5,$8832.53,7/26/2022
49,3,$10388.17,6/14/2023
2,4,$5064.37,5/21/2023
19,2,$6607.75,4/18/2023
43,2,$6004.32,3/14/2023
90,4,$7948.50,1/16/2023
12,3,$5620.39,10/20/2022
14,3,$10666.75,6/22/2023
71,1,$5444.08,8/9/2022
95,4,$8944.56,6/10/2022
63,4,$3664.87,5/20/2022
52,4,$2208.38,3/15/2023
84,1,$6122.01,7/3/2023
35,3,$2456.32,3/25/2023
42,5,$7839.19,11/24/2022
14,2,$8035.54,5/28/2023
1,3,$1904.33,11/7/2022
29,2,$7201.44,8/5/2022
33,3,$2539.27,3/16/2023
21,2,$1420.69,10/6/2022
85,3,$1242.26,4/10/2022
59,4,$2708.41,10/4/2022
86,3,$8923.22,2/13/2023
59,3,$3012.74,11/23/2022
12,5,$5236.43,4/5/2023
29,4,$3853.08,12/6/2022
88,2,$6574.21,3/14/2023
71,5,$1638.06,12/29/2022
79,1,$2040.14,11/15/2022
97,1,$1463.52,11/6/2022
44,2,$3495.48,5/8/2023
75,3,$7119.85,12/21/2022
86,3,$4307.81,3/28/2023
44,4,$3545.71,3/26/2023
80,2,$7965.66,7/17/2022
37,5,$2947.44,5/3/2023
88,2,$2575.55,4/12/2023
36,4,$10243.42,11/23/2022
69,1,$1373.66,11/29/2022
9,1,$11065.24,4/21/2022
33,4,$2395.82,9/25/2022
53,5,$4396.48,5/19/2023
38,3,$2557.81,4/16/2022
44,2,$10058.10,7/21/2022
79,5,$3304.21,1/9/2023
25,4,$2593.43,7/11/2023
6,3,$6820.43,9/26/2022
10,1,$4036.83,4/26/2022
54,1,$10607.74,12/6/2022
66,4,$1254.89,5/21/2023
46,5,$8857.14,6/27/2022
8,1,$1019.04,8/30/2022
20,3,$4539.41,9/30/2022
1,3,$6250.20,7/10/2022
40,5,$5221.44,2/9/2023
18,2,$9317.21,5/13/2022
73,3,$6831.76,11/19/2022
100,4,$6772.12,4/18/2023
14,1,$1634.93,6/7/2022
43,5,$1336.06,11/23/2022
62,4,$7425.58,12/13/2022
91,3,$10276.92,2/25/2023
79,2,$3952.80,9/15/2022
18,5,$8795.94,2/11/2023
34,4,$8246.70,11/6/2022
33,5,$3855.61,7/8/2023
52,5,$8686.56,2/28/2023
33,1,$8807.60,8/20/2022
13,2,$10887.87,6/1/2023
86,3,$7890.10,7/2/2022
27,3,$10932.54,10/22/2022
29,4,$7255.83,10/11/2022
31,1,$10830.18,2/6/2023
55,4,$1485.19,8/30/2022
21,4,$6845.40,11/29/2022
44,3,$5944.73,5/18/2022
76,1,$8048.72,7/6/2022
10,3,$8569.15,8/14/2022
10,5,$2394.58,2/7/2023
91,2,$4892.91,7/11/2023
79,4,$8430.51,3/17/2023
48,1,$1750.06,5/1/2023
24,1,$10934.01,7/4/2022
27,2,$3646.22,4/19/2023
97,1,$10773.40,5/3/2023
