customer_id,service_id,purchase_amount,purchase_date
40,2,$268.78,03/04/2022
42,4,$8412.68,09/16/2020
30,3,$3534.64,03/07/2021
41,3,$8758.88,03/02/2021
34,3,$5900.87,11/13/2021
38,5,$5014.31,07/07/2020
37,3,$9619.68,11/12/2021
42,3,$6123.75,01/06/2022
41,5,$1499.43,01/03/2021
30,2,$8271.95,02/06/2020
38,5,$2380.79,10/16/2020
39,1,$3016.08,02/23/2020
43,3,$3811.48,05/20/2021
36,1,$9051.35,03/28/2021
38,3,$56.29,03/31/2020
40,3,$4054.48,09/22/2020
32,3,$6090.65,08/20/2021
34,1,$8577.10,10/18/2021
34,4,$2974.51,01/14/2022
44,1,$3457.82,06/02/2021
40,5,$1036.28,06/07/2021
33,4,$7244.70,01/21/2021
33,4,$1909.39,11/22/2021
38,2,$9787.54,01/03/2021
44,2,$1740.18,02/06/2021
35,3,$2323.46,09/18/2020
41,3,$2507.41,06/27/2021
36,5,$3966.74,10/04/2020
43,5,$1045.49,05/31/2020
33,2,$6762.02,02/11/2021
36,1,$8369.04,07/14/2021
36,2,$7127.43,03/14/2020
35,5,$729.22,04/06/2020
33,1,$5229.43,04/10/2021
42,4,$2364.05,09/18/2021
38,2,$9915.29,12/26/2020
30,3,$5456.26,09/09/2021
33,1,$8048.24,01/20/2022
39,3,$7121.75,07/15/2020
41,5,$8224.76,06/18/2021
36,4,$835.52,08/13/2021
35,3,$6368.07,07/14/2021
32,5,$7704.11,01/27/2022
31,5,$9212.71,01/10/2022
40,3,$5916.84,03/01/2021
44,3,$679.09,08/01/2021
35,3,$3026.47,11/10/2020
31,5,$9208.77,11/24/2021
41,1,$5196.87,08/02/2021
31,4,$1671.28,09/24/2021
43,5,$2560.42,09/30/2020
30,2,$8254.98,01/21/2022
45,1,$4975.54,01/30/2022
45,4,$5460.63,06/21/2021
34,2,$8292.14,02/19/2020
43,3,$7170.60,02/16/2021
30,4,$4860.73,11/13/2020
37,3,$880.94,01/18/2021
36,3,$316.68,12/24/2021
35,1,$9677.89,03/23/2020
31,2,$205.29,10/13/2021
34,4,$2004.89,07/05/2020
42,3,$7588.05,12/02/2021
33,5,$885.30,10/20/2021
37,1,$2803.23,06/13/2020
38,5,$4516.13,09/18/2020
41,1,$8812.85,04/04/2022
41,2,$722.31,03/30/2020
38,4,$6144.45,03/20/2021
40,4,$7261.21,01/13/2022
42,3,$8545.06,02/28/2020
33,4,$7060.18,01/24/2022
31,4,$587.67,09/08/2021
32,3,$9930.18,12/21/2021
39,2,$941.92,05/07/2021
32,4,$1365.25,09/10/2020
36,3,$7501.45,07/07/2021
40,3,$11.59,05/29/2020
44,5,$6886.57,03/03/2021
37,2,$5640.75,01/12/2022
42,1,$8703.35,11/02/2021
42,2,$3968.34,06/22/2020
31,4,$7483.04,02/11/2020
39,4,$3372.81,03/11/2021
45,5,$2261.44,02/24/2020
43,2,$322.24,07/08/2020
