id_venta,id_cliente,id_producto,cantidad,fecha
1,12,974,10,3/11/2022
2,281,43,14,3/4/2022
3,119,888,15,3/11/2022
4,34,246,14,3/24/2022
5,266,865,14,3/19/2022
6,60,479,7,3/14/2022
7,134,500,4,3/23/2022
8,262,736,11,3/7/2022
9,244,353,2,3/8/2022
10,111,162,5,3/6/2022
11,8,125,15,3/13/2022
12,120,137,13,3/20/2022
13,289,46,8,3/1/2022
14,1,176,4,3/7/2022
15,217,146,10,3/24/2022
16,59,924,12,3/29/2022
17,196,328,13,3/17/2022
18,216,487,15,3/21/2022
19,81,721,15,3/12/2022
20,284,236,7,3/19/2022
21,198,653,12,3/17/2022
22,247,299,9,3/3/2022
23,196,57,3,3/26/2022
24,56,12,15,3/15/2022
25,164,534,13,3/4/2022
26,217,832,2,3/27/2022
27,34,796,11,3/4/2022
28,24,662,6,3/27/2022
29,10,682,2,3/5/2022
30,259,578,6,3/23/2022
31,227,740,1,3/11/2022
32,126,87,12,3/16/2022
33,36,374,14,3/3/2022
34,53,884,14,3/13/2022
35,196,87,2,3/12/2022
36,261,451,1,3/6/2022
37,117,491,8,3/10/2022
38,242,481,15,3/8/2022
39,147,375,15,3/5/2022
40,63,327,4,3/16/2022
41,214,184,5,3/19/2022
42,184,785,6,3/20/2022
43,119,291,1,3/21/2022
44,68,916,9,3/26/2022
45,39,28,13,3/13/2022
46,14,784,1,3/1/2022
47,115,957,6,3/19/2022
48,72,152,1,3/7/2022
49,264,229,10,3/27/2022
50,43,976,11,3/24/2022
51,26,709,1,3/6/2022
52,171,517,6,3/26/2022
53,74,712,4,3/6/2022
54,13,481,6,3/22/2022
55,175,964,5,3/9/2022
56,206,550,15,3/9/2022
57,267,63,3,3/14/2022
58,133,526,11,3/25/2022
59,131,513,2,3/11/2022
60,236,704,8,3/1/2022
61,204,741,11,3/26/2022
62,254,349,3,3/20/2022
63,141,198,2,3/22/2022
64,160,470,11,3/23/2022
65,38,280,14,3/11/2022
66,225,338,15,3/10/2022
67,220,325,3,3/26/2022
68,222,952,4,3/6/2022
69,150,871,10,3/12/2022
70,150,477,12,3/21/2022
71,80,424,1,3/5/2022
72,150,654,4,3/28/2022
73,70,792,9,3/27/2022
74,89,225,14,3/22/2022
75,280,162,9,3/12/2022
76,81,579,11,3/6/2022
77,248,685,8,3/25/2022
78,275,475,12,3/30/2022
79,193,970,13,3/8/2022
80,183,44,15,3/25/2022
81,195,881,13,3/16/2022
82,12,350,14,3/21/2022
83,92,93,13,3/29/2022
84,40,54,10,3/17/2022
85,258,196,7,3/29/2022
86,252,718,3,3/2/2022
87,294,81,11,3/19/2022
88,76,46,12,3/29/2022
89,287,925,8,3/23/2022
90,53,107,9,3/19/2022
91,269,711,8,3/12/2022
92,86,513,5,3/14/2022
93,282,736,2,3/7/2022
94,44,158,1,3/25/2022
95,143,156,1,3/5/2022
96,216,662,8,3/13/2022
97,282,828,9,3/7/2022
98,248,752,3,3/9/2022
99,152,249,6,3/19/2022
100,9,157,3,3/7/2022
101,164,187,13,3/16/2022
102,232,321,7,3/22/2022
103,154,595,10,3/25/2022
104,220,188,8,3/13/2022
105,224,915,2,3/2/2022
106,226,647,15,3/18/2022
107,240,113,9,3/20/2022
108,138,913,12,3/17/2022
109,145,125,9,3/16/2022
110,20,269,14,3/9/2022
111,76,632,8,3/22/2022
112,128,113,10,3/10/2022
113,92,443,5,3/3/2022
114,274,831,12,3/14/2022
115,158,290,2,3/6/2022
116,267,993,14,3/10/2022
117,140,44,14,3/6/2022
118,69,280,12,3/25/2022
119,250,579,4,3/28/2022
120,169,890,14,3/28/2022
121,118,8,9,3/18/2022
122,102,149,7,3/15/2022
123,300,507,7,3/26/2022
124,42,774,6,3/6/2022
125,273,214,8,3/19/2022
126,237,944,8,3/29/2022
127,42,966,2,3/26/2022
128,207,830,14,3/20/2022
129,267,788,8,3/13/2022
130,203,811,15,3/17/2022
131,298,624,8,3/16/2022
132,205,443,15,3/10/2022
133,177,880,2,3/29/2022
134,176,464,9,3/14/2022
135,179,380,7,3/5/2022
136,161,981,14,3/5/2022
137,50,907,12,3/2/2022
138,197,362,11,3/28/2022
139,138,15,8,3/12/2022
140,70,626,10,3/28/2022
141,119,943,7,3/3/2022
142,57,512,4,3/14/2022
143,180,221,13,3/20/2022
144,185,567,10,3/15/2022
145,209,316,10,3/20/2022
146,215,552,5,3/5/2022
147,139,955,10,3/25/2022
148,147,780,8,3/11/2022
149,81,543,13,3/10/2022
150,99,450,8,3/24/2022
151,230,952,6,3/29/2022
152,84,65,1,3/4/2022
153,243,832,12,3/9/2022
154,265,824,11,3/25/2022
155,184,151,6,3/18/2022
156,221,120,10,3/7/2022
157,166,789,10,3/10/2022
158,114,98,8,3/17/2022
159,197,337,15,3/24/2022
160,173,8,12,3/1/2022
161,97,408,12,3/27/2022
162,188,625,14,3/29/2022
163,127,263,5,3/19/2022
164,6,386,4,3/18/2022
165,154,226,12,3/17/2022
166,122,214,8,3/15/2022
167,169,704,2,3/6/2022
168,246,947,10,3/8/2022
169,55,338,1,3/3/2022
170,245,43,5,3/22/2022
171,28,872,15,3/12/2022
172,111,548,15,3/15/2022
173,137,174,11,3/1/2022
174,19,699,8,3/2/2022
175,249,925,6,3/9/2022
176,98,620,3,3/12/2022
177,251,256,14,3/17/2022
178,99,217,6,3/14/2022
179,95,273,6,3/27/2022
180,141,727,3,3/25/2022
181,66,6,10,3/20/2022
182,273,194,5,3/14/2022
183,177,684,8,3/30/2022
184,246,971,15,3/23/2022
185,286,929,6,3/14/2022
186,37,170,15,3/19/2022
187,134,749,3,3/24/2022
188,283,669,3,3/24/2022
189,288,158,13,3/16/2022
190,81,86,10,3/26/2022
191,136,435,7,3/6/2022
192,51,980,11,3/8/2022
193,298,440,10,3/11/2022
194,144,77,4,3/24/2022
195,275,89,15,3/23/2022
196,122,138,8,3/21/2022
197,213,878,6,3/2/2022
198,146,83,9,3/5/2022
199,148,652,15,3/2/2022
200,235,905,14,3/6/2022
201,136,97,15,3/30/2022
202,286,125,6,3/11/2022
203,265,318,12,3/3/2022
204,156,14,11,3/5/2022
205,114,156,4,3/16/2022
206,295,427,9,3/15/2022
