id_venta,id_cliente,id_producto,cantidad,fecha
1,201,235,4,3/7/2022
2,34,808,8,3/16/2022
3,57,519,1,3/21/2022
4,206,870,13,3/8/2022
5,243,289,9,3/27/2022
6,24,871,1,3/1/2022
7,45,16,14,3/13/2022
8,259,644,5,3/16/2022
9,170,553,4,3/30/2022
10,247,817,8,3/10/2022
11,183,751,15,3/30/2022
12,38,70,6,3/1/2022
13,278,189,2,3/11/2022
14,103,573,9,3/26/2022
15,187,8,7,3/23/2022
16,273,754,2,3/25/2022
17,77,438,1,3/2/2022
18,120,271,5,3/16/2022
19,19,465,8,3/3/2022
20,94,907,10,3/1/2022
21,229,925,15,3/19/2022
22,95,511,13,3/4/2022
23,255,629,11,3/29/2022
24,223,908,15,3/6/2022
25,125,117,7,3/17/2022
26,160,572,10,3/2/2022
27,232,611,13,3/10/2022
28,122,117,6,3/9/2022
29,37,519,3,3/17/2022
30,112,684,15,3/29/2022
31,69,87,3,3/1/2022
32,296,459,3,3/9/2022
33,249,326,14,3/11/2022
34,260,236,11,3/14/2022
35,227,292,11,3/17/2022
36,223,8,8,3/16/2022
37,61,301,3,3/25/2022
38,78,576,12,3/23/2022
39,21,580,5,3/21/2022
40,33,703,7,3/5/2022
41,72,186,11,3/24/2022
42,157,373,6,3/29/2022
43,265,338,9,3/1/2022
44,264,24,2,3/12/2022
45,188,775,12,3/23/2022
46,36,176,14,3/25/2022
47,204,608,6,3/30/2022
48,247,220,9,3/20/2022
49,204,667,2,3/3/2022
50,138,528,3,3/13/2022
51,266,475,9,3/4/2022
52,294,837,2,3/3/2022
53,148,299,11,3/14/2022
54,226,326,4,3/25/2022
55,127,289,12,3/28/2022
56,9,244,3,3/8/2022
57,134,829,6,3/30/2022
58,63,227,4,3/7/2022
59,140,807,5,3/20/2022
60,270,534,2,3/1/2022
61,149,447,6,3/30/2022
62,152,977,8,3/16/2022
63,281,242,4,3/3/2022
64,133,622,2,3/28/2022
65,227,117,12,3/23/2022
66,103,150,7,3/30/2022
67,70,993,5,3/13/2022
68,249,565,11,3/25/2022
69,245,372,6,3/7/2022
70,80,100,8,3/20/2022
71,238,696,15,3/2/2022
72,66,762,1,3/18/2022
73,129,796,13,3/16/2022
74,288,3,6,3/19/2022
75,26,956,7,3/25/2022
76,244,341,8,3/3/2022
77,270,927,13,3/18/2022
